Scenario,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12
28,0.04913937011063000,0.32486988640177400,0.24203038722211000,-0.56918098113802400,-0.08078612675680200,0.02068538153478900,0.20859761246145900,0.03729543134516600,-0.15451254644948900,0.50177675899938000,-0.21281321860684200,-0.09589454887436900
29,0.51971317585215300,0.35807624236452100,-0.67161743050624100,-0.32066049550708900,-0.32931532894423500,0.15922711275337900,0.13154366761542400,-0.41400906781097600,0.08078375693588600,0.57025275683529500,-0.04359305127327300,-0.08219532760660200
30,0.03508951908270200,0.33524977023709800,-0.39143975242381100,-0.60688005891212100,-0.19683540732384200,0.07135321041704200,0.26121266758861400,0.00719705257921500,-0.34125518594608800,0.69231790631671900,0.08560411192074100,-0.08904493824048600
31,0.38303810058009100,0.36596068044323800,-0.35873384256211300,-0.81941169154382000,-0.03933824247805200,0.20159764733787000,0.30930652902530500,-0.14385446488281500,0.42367069092432200,-0.13875701361158300,-0.15951177571656800,-0.10959377014213600
32,-0.99073777269037700,-0.02000268868636400,-0.14892691103422700,0.16898050260018700,0.24244950709543600,-0.14420643602489800,-0.00170214409659800,0.19292725999216000,-0.23521946010900900,0.29677442371903000,-0.18873148905896500,0.61646495704951700
33,0.28683359448043700,-0.21566659183414400,0.20426844518223700,-0.96899060041351800,0.11614446455905400,0.04539697798479700,0.17759995768124700,-0.16098668796250400,-0.10055610458436500,0.23701420934367000,0.18205579467908600,-0.03424805316941800
34,0.15370566690873200,0.30427880859061300,-0.02159128092061700,-0.26202938956255500,-0.09992278430773400,0.11943221605235000,0.20723525811428400,-0.10213460237728400,0.21420230198686400,0.41555470364817100,-0.55019477257386400,-0.03424805316941800
35,0.22355213499097200,0.15219813122939700,-0.06009334753573100,-0.65747946264855800,-0.00011646134266200,0.18313586265604100,0.33169080902696900,-0.13084505076147400,-0.07902272201618500,0.75936184482171300,0.03735902321997000,-0.07534571697271900
36,0.30161387400818500,-0.03614363949433900,-0.15068562841637200,-0.90098995513861700,-0.26395428078134000,0.11264385737429000,0.16573491169218000,-0.17449799426556800,-0.30189135406793600,0.58952260398008000,0.33678834423486900,-0.10274415950825300
37,0.25777354647096600,0.07447048138263500,-0.62359853524879900,-0.76486995371014600,-0.54056559394883100,0.20403058475596600,0.44345360235522400,-0.16242006625698900,0.33623131398694400,0.35716076508677400,0.00685217949805300,-0.08904493824048600
38,0.03364662798853600,0.37014345022441000,0.15735550335916500,-0.67731206060658300,-0.29437736496336500,0.07744471153697500,0.15945577770018600,0.01391148650024000,-0.09232261724019000,0.29984267139718900,0.03698839677127600,-0.06164649570495200
39,0.06248584814361300,0.33296895487030500,0.44860924864110000,-0.58156484089171100,-0.10518877903071700,0.06919207898942000,0.56590501065559200,-0.00302508547389400,0.19936722535116200,0.35321299401702100,-0.24291832274371300,0.01369922126776700
40,0.34033994576056800,0.56277237530869800,0.22255737717940800,-0.08451229408773000,-0.02671311624826700,0.00636616506504800,0.21868917195065500,-0.28916340947374200,0.35971728462763200,0.50518256285549600,-0.23490658762593300,0.08219532760660200
41,0.59035215528200600,0.42444176392215100,-0.16854782756585900,-0.42190240340271700,-0.40185861795555500,0.14412978783289800,0.20994877042223800,-0.42834048428073600,-0.09152672959136100,0.45041705543669500,0.00249654442272600,-0.08904493824048600
42,-0.03373560057519400,0.06516969228650100,-0.31131552033325000,-0.78173108537947500,-0.47863953133174000,0.08870991041061000,0.17076251973331400,0.10123383279897200,-0.33945456230806600,0.59729264650228000,-0.18783624858817300,-0.10959377014213600
43,0.07333118285554200,-0.08251760407558100,-0.26641034479731700,-0.58598595911370800,-0.18896435001839800,0.07497201905869900,0.16614213935574600,-0.05478838856699200,-0.16170962462966600,0.33297697853125400,-0.38686204349535500,-0.01369922126776700
44,0.34684093042036700,0.38691629787617700,-0.22176804065123400,-0.24021959049672600,-0.02516243574831900,0.04021705455058000,0.20370373211775400,-0.25365508691299300,0.12542884044590000,0.85182223552198000,-0.13867103170772100,-0.02739844253553400
45,0.38260581065078400,0.12690315208350500,-0.05775150768148200,-0.72195227674904600,-0.09104036273332200,0.10624829644764600,0.16451130178333200,-0.19810623355332600,0.15775112382316600,-0.02650191872774800,-0.20992783748503300,-0.10959377014213600
46,0.38744827625623800,0.07681564831981200,0.19268079953647600,-0.82594497676887200,-0.03164652349310100,0.08464392595952400,0.39567659759828700,-0.24856774420471400,-0.10452823332661300,-0.09958388982821100,0.06058844124473000,-0.04109766380330100
47,0.19918460129322500,0.06842880641188400,-0.04338132848164500,-0.87650866872645600,-0.03530939367031800,0.13397342256647500,0.43541310477447200,-0.02320314182134600,0.30636313311817200,-0.27484929025166600,-0.35117912036312100,-0.10274415950825300
48,0.32259110073168200,0.11528950078687900,-0.16037105352643600,-0.75749140762286400,-0.46720937743451400,0.21343009840758700,0.16590623856466100,-0.16239508131175100,-0.05636112898056000,0.40879638459495200,-0.24736363597670100,-0.10959377014213600
49,0.32736243069463400,-0.13732943126951900,-0.54729601165293500,-0.72838901702713000,-0.10951198198402900,0.07093875789023000,0.12027352014284900,-0.23537359958432500,-0.02604202414954600,-0.08707206371618300,-0.13130926821959300,-0.06849610633883500
50,0.26493869582788900,0.02293930211105800,0.13750982952039400,-0.77510962900387500,-0.19576326906217500,0.09238419045036000,0.08230247310320400,-0.16577514675056400,-0.33475733077736100,0.09398801959337700,0.01482043763053000,-0.04109766380330100
