Scenario,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13
48,-0.7495085165532240,-0.1668074071832860,0.2028897761230730,-0.0154205675936644,-0.0730674407988216,0.2302956308704130,0.0893071045317458,0.1349446047953260,-0.0241188560898034,-0.3499279923493030,0.4146983127188930,0.6016128119592540,0.2671348124766960
49,-0.8634563116140730,-0.0017878040550398,0.1373225108669510,0.3051438472892530,-0.0958551194654201,0.0355538115661458,0.2694037714667550,0.0772249065475099,0.0459879887052779,-0.2130670699725290,0.1016902804305060,0.1902946153316250,0.0616464951869298
50,-0.4028524836508590,0.1311443871778510,-0.2573952504174680,0.2795665789877060,-0.1000287743565830,-0.4868335442196960,0.0783419578129349,0.4473001302801840,-0.2172327110008380,0.2337843824997790,-0.0757432568119628,0.2906203280658690,0.0958945480685575
51,-0.7138165774263880,0.5834104118401390,-0.0165836854471808,-0.0511380352985696,-0.0129369320383645,0.1591829044653050,0.1466327368974690,0.1693872327534630,-0.0626439473649606,0.4746438317997940,-0.0435391125563904,0.2061519881574530,0.2328867595950680
52,-0.8560290679408100,0.0042516835143009,0.0643296695921429,0.2065822942270820,-0.0274371791738284,0.0788141876925912,0.2183168695635520,-0.1257100467164370,0.0370486818994326,0.0791180815399021,0.1730128116991140,0.1580026660470350,0.1506914326791620
53,-0.5081005789321810,-0.1089820240577970,-0.1951349938097150,0.0339165842897456,0.0061472654385878,0.2405861356824090,-0.0764456908446274,0.1373690902694600,-0.3449056394959930,-0.0917247901631111,-0.0403139611055715,0.0007942525363147,0.3219316970873000
54,-0.1296400803329280,-0.7295933424154420,0.0961241358608861,0.2588160654037230,-0.1161038288649920,0.0926279029923796,-0.4450237008949530,0.1275288196001050,0.0226958673821393,-0.3568126560757600,-0.0990248814143578,0.1870120539388270,0.9246974278039480
55,-0.6196743769680830,0.1950208524854430,0.2920209758755660,0.1097043668026930,-0.0838381016890907,-0.4076891274999150,0.1653559514342630,-0.1253779339123440,1.1710902473847800,-0.4561859884160460,-0.0033550493700902,0.2603738382300850,0.1095937692212090
56,-0.8170676675785700,0.5674094090423040,1.0272887624156900,0.0762182941593554,-0.0522592674062349,0.1478287914885840,0.2600446434133560,0.0408147794936131,-0.0137009397571629,0.0210551857268728,0.0817929082033871,0.1838785437804380,0.1506914326791620
57,-0.7230382769748580,-0.2033911783128780,-0.1404978752519380,0.0117160000990370,-0.0495830958801368,0.0440997062146225,0.1535878098407520,0.1879043522073250,0.2194635651795310,-0.0017910679813475,0.7467107599206490,0.3684430646626000,0.1301426009501850
58,-1.1596978341689500,0.2478784003322130,0.5514802999280500,-0.1955702594821220,0.0066088343379472,0.0922989318438495,0.4468126408540480,-0.2337848115292380,0.1158272291256540,-0.0122265785220712,0.3161616388266680,-0.0046262576559495,-0.0136992211526511
59,-0.8293734074899190,0.2565965638077490,0.0854989547296615,-0.1227103502257520,-0.0412499475767015,-0.0273565561387279,0.3308138645979150,-0.0678114791867949,-0.4961198724241200,0.5282783045409280,-0.0419786764110772,0.0613142930659820,-0.0410976634579532
60,-0.8500291533530570,0.3242399990348730,-0.2465630087477610,0.0732428872942217,-0.0929565849331048,0.1521222648176920,0.2454848115546270,0.1187147523936740,-0.2717790533543100,0.1641400214605420,0.2226543182684320,-0.5690320968469350,0.1027441586448830
61,-0.7700364287131470,0.2581328830632280,0.0843171800913626,-0.0500228426584467,-0.0581499867823510,0.0684568591320809,0.1712484220913590,-0.0417735773282162,0.2067822834358560,-0.0789193608950082,0.0364842261418141,0.5096589150648280,0.1986387067134410
62,-0.7198703126435690,0.3842574024843670,-0.0774301580356678,-0.0887821903940264,-0.0940897348553031,0.0638483272989445,0.2112584655252520,0.4487650518671150,0.0604491116594289,0.2159404462691650,0.1928584633749080,-0.0122262645005094,0.0890449374922320
63,-0.1332378295561190,0.2987876887908280,0.1421153257415610,0.9241634411307720,-0.0659167542691876,-0.0985481300083286,-0.1207523097151790,0.8386050737238800,-0.2335974486642110,0.5062143835505630,0.0347302987106740,0.3403597903611900,0.2808340336293470
64,-0.6572398733648520,0.1498822233720430,0.0704207806380428,0.4763941393593660,0.0066554945843993,0.0291716307230560,-0.0617659028910107,0.0075680706517028,-0.0436704795765356,0.1528663923715010,0.1486351128362090,-0.0158594039652932,0.6164649518692990
65,-0.8950124609894450,-0.0083738967918223,-0.3074314796998470,0.0353881558499785,-0.0257707770368715,0.0516805631092963,0.2804196118998670,0.1265224294976410,-0.0179116158777482,0.3572525552808650,0.1820397445216850,-0.0390514214149300,0.0547968846106043
66,-0.5619761438530070,-0.0416787106974919,0.0871632608587828,0.2382249002380610,-0.0425128567006100,0.1233298085312050,-0.0086881411112333,-0.3127290591330590,-0.0938895278019983,-0.0236003664883910,0.1209893755777090,-0.1140788420749370,0.3013828653583240
67,-0.7926865659927850,0.3288553757200120,0.3644050194069900,0.1440982574830210,-0.0289527100299991,0.0530471364144289,0.2007252892265200,-0.0287670892546725,-0.0154694271880464,0.0488355222274542,-0.1152110628173980,-0.2818615856582430,0.1643906538318130
68,-0.7197536125041890,-0.0138747859424707,0.1001980126327630,0.3554346514301320,-0.1163378161312550,0.0559121428988634,0.0832235663847924,-0.1141468907474100,0.1040702468477960,0.1977079003551750,0.0266086090454435,-0.2294887165434770,0.3493301393926020
69,0.1625136921552710,-0.0548112841831848,0.3672784277133190,0.0964097336945138,-0.0793566579408172,0.2122013165029640,-0.3042959371861250,0.7023930469026730,0.2433402386401800,-0.1040707138798650,-0.1014927888700050,0.2966308777724270,0.1712402644081380
70,-0.9704812660712400,0.0031509175771969,0.4085612617035610,0.0805665110457004,-0.0503681072465481,0.1604090048043060,0.2455526569402400,-0.1919277604694070,0.1668361885893420,-0.1325604560908640,0.1193552283711220,-0.7111984655152600,0.1575410432554870
71,-0.3073086614589920,0.1224418992073010,0.1108071309499780,0.4565809983876420,-0.0859364730688501,0.1647681643037450,-0.2069326553541460,0.3725660547623390,-0.2058499324171890,0.0719631562562873,0.1625802203588330,0.4011722479692940,0.6370137835982750
72,-0.2523129492544320,0.3453252101382890,0.8883849718954240,0.6282977601707390,-0.1193203499497570,0.1294770931978550,-0.0614460136804660,0.0678587924354974,-0.3964642427002510,0.1546429733581170,0.2859871289332920,-0.0799603113705152,0.2602852019003700
73,-0.3022247654871480,-0.0297396600510008,-0.4534572907971060,0.2037460401538360,-0.0483806465894099,-0.0464212711285600,-0.1019041132304910,0.0140070627767009,0.4305083742961550,-0.0145699894293255,-0.0132145143573972,0.2909980460013790,0.2602852019003700
74,-1.1381356180438400,0.1535481710029790,-0.1096942164192160,-0.0724702814390836,-0.0141862649552541,0.1115663615775730,0.3136934288197820,0.0042065688385641,-0.1109784531907770,0.0771861788883257,-0.0352750711167610,-0.5387258469078010,0.1780898749844640
75,-0.9307537841865760,-0.0094431801957817,0.2141838735484690,-0.1225199695033990,-0.0404416646994024,0.1991175064006560,0.2450840275064300,-0.0569233175653749,-0.2544103017516290,0.1168329581827280,0.1423434238255870,-0.5913545725906240,0.1027441586448830
76,-1.1152229236355900,-0.1138328632278010,0.0798469542994706,-0.0882236089214560,0.0022491501296869,0.0719355035699198,0.3617451448349870,-0.3486849039942620,-0.4038455715295710,0.3655801810864320,-0.0123341069053675,-0.2437563812140670,0.0479472740342788
77,-0.4712170065100510,-0.1417592581007310,-0.1320510591336470,0.2691567187138380,-0.0782267179311269,0.1061127590019750,-0.1142228439295950,0.0706539523615090,0.0244500168285237,0.0636598611213540,-0.2044785762548070,-0.3614158701494520,0.4657735191901370
78,-1.1074251375814100,0.2201141000560920,-0.3204751195371150,-0.0082017886979500,-0.0357378673115322,0.1624474625984850,0.3474508297165410,-0.1533832398601590,0.3312015565230050,-0.4160842718839720,0.2743727804491980,-0.0811342159751442,0.0821953269159065
79,-0.8704162982936930,-0.2737648230178510,0.2287560710336050,0.2028244299817210,-0.0272348039683736,0.1618393204773450,0.2530324008123570,0.0211850836461441,0.2710094175082680,0.2436202678680220,0.0758018378343523,0.0126708170251288,0.0616464951869298
80,-0.6523502174808660,-0.0085312278984825,-0.1242523024760330,0.1480506893488990,-0.1080498498512330,0.0485753904433667,0.1539316068445260,0.0547846057135144,0.7218126103216730,-0.0620737732146961,0.9357626549225030,-0.2005422349710650,0.1095937692212090
81,-0.2935975857281300,-0.4097263838417810,0.1480742614378790,0.4341638530466550,-0.0871377574925744,-1.0147397117706300,0.0197298603754198,-0.0593912370218463,0.3283778126343130,0.1605677101724450,0.1033061753838260,0.3741072995899050,0.1506914326791620
82,-0.8970315811008830,0.0379576820430384,-0.0230366208405222,0.0879775670823476,-0.0639264396311254,-0.1072925542104600,0.2975144662269260,0.3402722963535280,0.0675659233260219,-0.2472802721774450,0.2313903561170790,-0.0687925745524289,0.0410976634579532
83,-0.3913716976974110,0.4924998129539120,0.0530821734546172,0.2929033273656430,-0.1073774567707690,-0.0583168037835708,-0.1156086685307930,0.1495260340101490,-0.1203429361907910,0.3204755960389150,0.0237495177296665,-0.1630443852301080,0.5890665095639960
84,0.0080338333726582,-0.2401806076004990,0.0799215363012295,0.1958103904061770,-0.1063357829687200,0.1315877629355450,-0.2842420857837920,-0.0859019503454078,0.4115032233322460,0.1664654831353350,0.2149725098070700,-0.1826098576677610,0.3150820865109750
85,-1.0072441562023800,-0.1315221246724110,0.0535905328271500,0.1986528016826040,-0.0942414076917459,0.1033417599525210,0.2682454118410780,0.1625668334396370,0.0544500147392614,-0.1528670684179200,0.3308768692287750,-0.0737014796159940,0.1712402644081380
86,-0.6263741089857680,-0.1601523434001940,0.1057373434310170,1.0046511399757600,-0.0792478118484538,0.1052777892784120,0.1127546330551140,0.1697727612252730,0.0531292880532857,0.4553827162604110,0.0523831028174495,0.1460888630012840,0.2260371490187430
87,-0.3214931886737620,-0.0204221976403271,-0.3639462586019110,0.3563104520105820,-0.0660417228701981,0.0094774318855665,-0.0899803700025400,0.0997034770092395,-0.1121376347844690,0.0421653932317443,-0.0002172009138175,0.1797451089635270,0.2465859807477190
88,-0.5347600647524990,-0.2180747649112130,0.0729883097462048,0.0847354301754178,-0.0444703543898455,0.0676565275034152,-0.0338418897257931,-0.1676626373363670,-0.0482881866453701,-0.0083116917114733,0.1931345173297930,-0.0138270294149449,0.3356309182399510
89,-0.7207950310769160,0.1007877930649120,0.0479740988938009,0.0890151789623913,-0.0922683270679794,-0.0456609214685591,0.2000229715562150,0.0660288777867942,-0.3008044513454150,0.1734900824702890,-0.0763682877288957,-0.4540059437261200,0.0753457163395809
90,-0.9501102099968510,-0.0444479083465946,0.3228790781655510,0.1584920745030530,-0.0728228085101245,0.0951654389184298,0.1832178445028360,-0.1440484048958890,0.0453740965531738,-0.0141788365713245,-0.0038119977458545,0.0512988373677762,0.3424805288162770
91,-0.0952573883824185,-0.2743544377326970,-0.2591577667971800,0.1134526258110920,-0.0866291250144016,0.1572767687523870,-0.2855245659095780,0.1683554959105980,0.4709664382963640,0.2082101454781420,0.0455355576396888,0.1752458400270920,0.4589239086138110
92,-0.3766320340306400,-0.0534740608875986,0.2344514496078360,-0.0354408615092069,-0.0161553772540780,0.1280133783137670,-0.1361069585956120,-0.1335061160233700,0.2498722171499670,0.0397781343137236,0.1253842063430330,0.2970227946828910,0.4383750768848340
93,-0.3070205725976660,0.0874231127722053,-0.1644445967395210,0.3198184327743340,-0.1156043492782020,0.1004995493529860,-0.0343231796925142,0.0858188596400928,-0.2615285755186150,0.1155454357766810,-0.0006468224132176,-0.0256718907269016,0.1095937692212090
94,-0.8405513696647290,0.0993189069898039,-0.2104988230928580,0.0983142797824270,-0.0757366463975365,-0.1648867362516740,0.2267507301212160,-0.1635806240502480,-0.0023295979588061,-0.1909693376605540,-0.0638723937146274,-0.3693059079086060,0.1369922115265110
95,-0.2279411998274930,-0.8067227770812720,0.1207644274372350,0.2882176957449850,-0.0819114749622853,0.1124196655157570,-0.1828785332353520,0.1137056274486410,0.0328359296362917,0.0675872427898951,0.0782116413003650,-0.1980957229845100,0.2534355913240450
96,-0.0519813413823658,0.5094589025576720,-0.1332001750229140,0.1383195991536920,-0.1220700051692750,-0.0304563005095032,-0.1995734856456840,-0.2034502836484360,0.4733709123964430,-0.4477264445524980,0.1857406366386160,0.4551550586285970,0.3082324759346490
